순위,title,artist,장르
88위,에잇(Prod.&Feat. SUGA of BTS), 아이유(IU),댄스/팝
89위,Square (2017), 백예린 (Yerin Baek),댄스/팝
90위,REALLY REALLY, WINNER,댄스/팝
91위,Cheese, 프로미스나인,댄스/팝
92위,어푸 (Ah puh), 아이유(IU),댄스/팝
93위,이제는 (feat. 화사), 싸이 (PSY),댄스/팝
94위,Rewind, 프로미스나인,댄스/팝
95위,어땠을까 (feat. 박정현), 싸이 (PSY),댄스/팝
96위,여행, 볼빨간사춘기,댄스/팝
97위,Alcohol,Free ,댄스/팝
98위,SHAKE IT, 씨스타(Sistar),댄스/팝
99위,사계 (Four Seasons), 태연 (TAEYEON),댄스/팝
100위,LOVEADE, VIVIZ (비비지),댄스/팝
1위,그라데이션, 10CM,포크/어쿠스틱
2위,Love story, 볼빨간사춘기,포크/어쿠스틱
3위,Seoul, 볼빨간사춘기,포크/어쿠스틱
4위,서랍, 10CM,포크/어쿠스틱
5위,폰서트, 10CM,포크/어쿠스틱
6위,여름비, 샘김(Sam Kim),포크/어쿠스틱
7위,우린 어떠한 별보다 빛날 거야, 이하이,포크/어쿠스틱
8위,스토커, 10CM,포크/어쿠스틱
9위,사라진 모든 것들에게(with ELLE KOREA), 코드 쿤스트,포크/어쿠스틱
10위,나만,,포크/어쿠스틱
11위,김철수 씨 이야기, 허회경,포크/어쿠스틱
12위,오랜 날 오랜 밤, AKMU(악뮤),포크/어쿠스틱
13위,정거장, 아이유(IU),포크/어쿠스틱
14위,마음, 아이유(IU),포크/어쿠스틱
15위,가을 타나 봐, 이무진,포크/어쿠스틱
16위,벚꽃 엔딩, 버스커 버스커(Busker Busker),포크/어쿠스틱
17위,별 보러 갈래?, 볼빨간사춘기,포크/어쿠스틱
18위,남이 될 수 있을까, 볼빨간사춘기,포크/어쿠스틱
19위,나비와 고양이 (feat. 백현 (BAEKHYUN)), 볼빨간사춘기,포크/어쿠스틱
20위,Goodbye Summer (f(Amber+Luna+Krystal) (feat. D.O. Of EXO,K)),포크/어쿠스틱
21위,너, 아이유(IU),포크/어쿠스틱
22위,비밀의 화원, 아이유(IU),포크/어쿠스틱
23위,사랑은 은하수 다방에서, 10CM,포크/어쿠스틱
24위,봄이 좋냐??, 10CM,포크/어쿠스틱
25위,Gone, 로제(ROSÉ),포크/어쿠스틱
26위,여수 밤바다, 버스커 버스커(Busker Busker),포크/어쿠스틱
27위,STAY, BLACKPINK,포크/어쿠스틱
28위,행복하게 해줄게, 장범준,포크/어쿠스틱
29위,생존약속 生存約束, Lucia(심규선),포크/어쿠스틱
30위,꽃송이가, 버스커 버스커(Busker Busker),포크/어쿠스틱
31위,애상, 10CM,포크/어쿠스틱
32위,지켜줄게, 백예린 (Yerin Baek),포크/어쿠스틱
33위,매트리스, 10CM,포크/어쿠스틱
34위,또 어딘가를 향할때, 장필순,포크/어쿠스틱
35위,나를 지켜주세요 (명성왕후 O.S.T), 이수영,포크/어쿠스틱
36위,Interlude 1, 이수영,포크/어쿠스틱
37위,IF YOU, BIGBANG (빅뱅),포크/어쿠스틱
38위,Mermaid, 볼빨간사춘기,포크/어쿠스틱
39위,pet, 10CM,포크/어쿠스틱
40위,인사, 멜로망스(MeloMance),포크/어쿠스틱
41위,Give Love, AKMU(악뮤),포크/어쿠스틱
42위,어두운 마음은 오늘 밤 지나갈거야 (Prod. by 옥상달빛), 김고은,포크/어쿠스틱
43위,가을 아침, 아이유(IU),포크/어쿠스틱
44위,널 생각해, 원 모어 찬스(one more chance),포크/어쿠스틱
45위,사랑해 진짜, 임영웅,포크/어쿠스틱
46위,방에 모기가 있어 (Do You Think Of Me?), 10CM,포크/어쿠스틱
47위,잘 지내, 적재,포크/어쿠스틱
48위,아름다운 건, 볼빨간사춘기,포크/어쿠스틱
49위,연애편지, 임영웅,포크/어쿠스틱
50위,품, 볼빨간사춘기,포크/어쿠스틱
51위,그렇게 살아가는 것, 허회경,포크/어쿠스틱
